build_id;title_id;version;name;source
E853C44FDF18B88F;010060700AC50000;4.0.1;MARVEL ULTIMATE ALLIANCE 3: The Black Order;db
42C33871BE7A6DA3;010069301E220000;1.0.0;MARVEL vs. CAPCOM Fighting Collection Arcade Classics;extracted
B1FC6FB94ECE1DF1;01003DE00C95E000;1.3.0;Mary Skelter 2;db
B2C87992DA9CE1E8;01003DE00C95E000;1.1.0;Mary Skelter 2;db
C16E154E683D7EB8;01003DE00C95E000;1.4.0;Mary Skelter 2;db
B1AFBB02475AD7E3;0100530014438000;1.0.1;Mary Skelter Finale;db
FBE4C2EAE551F40A;0100419014456000;1.0.1;Mary Skelter Finale (EU);db
A3F25086D203D916;0100149019460000;1.3.0;Master Detective Archives: RAIN CODE;db
2058227F80E9B40C;01004800197F0000;1.3.0;Master Detective Archives: RAIN CODE (EU);db
E20D79032180CF3C;0100F4401940A000;1.3.0;Master Detective Archives: RAIN CODE (JP);db
B1C8B55E8D400E57;0100CC7009196000;1.1.0;Masters of Anima;db
81D1A2E2C2BB7BF8;01006320174AE000;1.01;Mato Anomalies;db
7A0D43680365424E;0100A8C011F26000;1.0.0;Max And The Book Of Chaos;db
9D8382D802511043;01000FE0164AA000;4.1.0;Maximus 2;db
07EBE02BA4050BFC;0100E4600D31A000;1.0.4;MECHSTERMINATION FORCE;db
047FDD0C5AF5F1C5;0100B0C0086B0000;1.1.0;Mega Man 11;db
CC8D0CEF5B9E88CA;010038E016264000;1.0.2;Mega Man Battle Network Legacy Collection Vol.1;db
DA93E82DBB8374FE;0100734016266000;1.0.2;Mega Man Battle Network Legacy Collection Vol.2;db
381EBB12FB9A8C78;01002D4007AE0000;1.1.0;Mega Man Legacy Collection;db
EAD37D36ABD7C4C8;01005C60086BE000;1.0.0;Mega Man X Legacy Collection;db
ECE85107B8DC81DB;01005250086C4000;1.0.0;Mega Man X Legacy Collection 2;db
2A38895C5E732182;010025C00D410000;1.3.0;Mega Man Zero/ZX Legacy Collection;db
48A7577F4E740FED;010025C00D410000;1.0.4;Mega Man Zero/ZX Legacy Collection;db
B657840C3D2D554E;0100273008FBC000;1.1.0;Mercenaries Saga Chronicles;db
C4E99A309F64124E;0100A6E01681C000;1.0.4;METAL DOGS;db
D76D38B9E285E4CC;01002DE00E5D0000;1.1.0;Metaloid: Origin;db
BB3E8067E9C50204;0100FF401F79E000;1.0;Meteorfall: Krumit's Tale;db
85C362CC9790F0ED;0100D4900E82C000;1.0.0;Metro 2033 Redux;db
85E01E0ACB443307;010046301C3F0000;1.0.1;METRO QUESTER;db
646761F643AFEBB3;010093801237C000;2.1.0;Metroid Dread;extracted
8275FBE1EC5191C2;010019A01E2F2000;1.0.0;Metroid Prime 4 Beyond;extracted
67C9CA1428222752;010012101468C000;1.0.0;Metroid Prime Remastered;extracted
443A5A12BBE809B5;010015C01EE2A000;1.0.1;Mezmeratu;db
0D5D07181F8BE84C;01001EB011D38000;1.0.0;Miden Tower;db
CB81C63C4FDDF454;0100646019558000;1.0;Midnight Fight Express;db
58A71A8A87A2CA11;0100B2C0175C2000;1.0.2;Might & Magic: Clash of Heroes - Definitive Edition;db
A45E10D137D7FB6C;0100AD701344C000;1.0.2;Mighty Goose;db
9E312DC34E8BD7A2;0100CAC01C2E4000;1.0.0;Mighty Morphin Power Rangers Rita's Rewind v1.0.0;extracted
2BC484524F0C86BC;0100DCD01F306000;1.0.5;Mina the Hollower;db
1269C1762052808D;01007C6012CC8000;1.18.19068.0;Minecraft Legends;extracted
E4853E9FF148FDD9;01007C6012CC8000;1.17.25086.0;Minecraft Legends;db
5176E298CDD82227;01006BD001E06000;1.17.0;Minecraft: Nintendo Switch Edition;db
BA28BDB19B70B30A;010088201E640000;1.0.1;Mining Mechs;db
E527AD413FD4F6F1;010039F01FF3A000;1.0.5;Minishoot' Adventures;db
8006DAE28902A3D4;01000A001E978000;1.1.0.0;MIO: Memories In Orbit;db
0CAFE20D98847B76;0100D06015B58000;1.01.06;Miraculous: Rise of the Sphinx;db
5A12F43732856844;010059200CC40000;1.0.2105;Mist Hunter;db
72353029E0DD9843;010034E00EFD0000;1.3.0;MISTOVER;db
9B3B5F6D3D95AE4C;010034E00EFD0000;1.7.0;MISTOVER;db
A28F4BDEF46544C1;0100F7901B042000;1.0.1;Mists Of Noyah;db
C56E6F514FADC5C5;0100D8700B712000;1.1.9;Modern Combat Blackout;db
F386B1AED15C029C;01004EB0119AC000;1.0.0;Moero Crystal H;db
D9C5D440EA56B37B;01004A400C320000;1.3.0;Momodora: Reverie Under the Moonlight;db
945A92FC45D08E25;010037101A4CE000;1.30;Mon-Yu;db
85EB6295023DD394;0100E4A01548C000;1.0.1;MONARK;db
FE50C0F9760F4343;0100FBD00ED24000;1.1.0;MONKEY BARRELS;db
40961C0A47988049;01004C500B8E0000;1.0.0;Monkey King: Master of the Clouds;db
5D1BC3E14C488C47;010075200F1CA000;1.0.0;Monochrome Order;db
6911A0B8B685E532;0100F3A00FB78000;1.1.0;Mononoke Slashdown;db
78440BAC00D01742;01007430037F6000;1.0.5;MONOPOLY for Nintendo Switch;extracted
DEAF99CA8A5C5F0B;01005FF013DC2000;1.0.0;MONOPOLY Madness;extracted
107A4D01B1BF5D44;01006F7001D10000;1.3.0;Monster Boy and the Cursed Kingdom;db
7DD8AFC6A77AFBB3;01006F7001D10000;1.5.0;Monster Boy and the Cursed Kingdom;db
EE7693162065F488;01006F7001D10000;1.2.0;Monster Boy and the Cursed Kingdom;db
FF7BE16D88B0C439;01006F7001D10000;1.4.0;Monster Boy and the Cursed Kingdom;db
D84505496AA9A670;01004CC018D22000;1.0.0;Monster destroyer;db
91A0F7E64876346E;0100770008DD8000;1.2.0;Monster Hunter Generations Ultimate™;db
FB08F1D20FD1204F;0100770008DD8000;1.4.0;Monster Hunter Generations Ultimate™;db
5CAC0323CCBC04BF;0100B04011742000;1.0.0;MONSTER HUNTER RISE;extracted
55D50CA1805E9C5B;0100B04011742000;16.0.1;Monster Hunter Rise: Sunbreak;db
92DF51D37268A38C;0100559011740000;16.0.1;Monster Hunter Rise: Sunbreak (JP);db
EF7D3141FAAEDD80;010069301B1D4000;1.2.1;Monster Hunter Stories;extracted
E0CCC6BB309EBB8D;0100E21011446000;1.5.2;Monster Hunter Stories 2: Wings of Ruin;db
F6DDDBD1D51F4B78;010045A0193CE000;1.0.0;Monster Menu The Scavenger's Cookbook;db
E44DB6CAB7018E42;01005E90194E0000;1.0.0;Monster Menu The Scavenger's Cookbook Demo;db
65EEA5A401B6F042;0100A0F00DA68000;1.3.0;Monster Sanctuary;db
341CD937B9A177A5;0100D1700C732000;1.1.0;Monster Slayers;db
555C31C0B8C8D540;01001620105FE000;1.0.0;Monster Viator;db
87A8E5BB5C72FE72;010091C013F6E000;1.0.0;Monument;db
BBA199B4CD2A58D2;01008C8025C8E000;1.1.30;Moonlight Peaks;db
BBF3F7535ED52140;0100F4700B2E0000;1.4.0;Moonlighter;db
CD63653C77E52D44;0100F4700B2E0000;1.5.0;Moonlighter;db
8091B025BE103491;01003A8018E60000;1.0.1;Moonrider: Vengeful Guardian: Moonrider	(JP);db
